gid,rank,votes,title,category,year,authors,avg_rating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars
8306857,1,"10,159","Divergent (Divergent, #1)",Favorite Book of 2011,"2,011",[Veronica Roth],4.2,487 pages,?2011-04-25?,Katherine Tegen Books,"1,343,769","835,964","406,657","114,036","51,883"
7304203,2,"8,970","Shadowfever (Fever, #5)",Favorite Book of 2011,"2,011",[Karen Marie Moning],4.41,608 pages,?2011-01-18?,Delacorte Press,"57,918","23,886","8,573","2,335","1,884"
10664113,3,"7,617","A Dance with Dragons (A Song of Ice and Fire, #5)",Favorite Book of 2011,"2,011",[George R.R. Martin],4.33,1125 pages,?2011-07-12?,Bantam,"271,230","178,846","64,273","12,202","3,245"
6752378,4,"7,535","City of Fallen Angels (The Mortal Instruments, #4)",Favorite Book of 2011,"2,011",[Cassandra Clare],4.14,425 pages,?2011-04-05?,"Simon & Schuster Children's, Margaret K. McElderry Books","199,551","145,864","80,096","19,915","5,596"
9418327,5,"6,287",Bossypants,Favorite Book of 2011,"2,011",[Tina Fey],3.96,283 pages,?2011-04-05?,Reagan Arthur Books,"278,684","292,662","164,020","41,277","22,337"
1215032,6,"5,859","The Wise Man's Fear (The Kingkiller Chronicle, #2)",Favorite Book of 2011,"2,011",[Patrick Rothfuss],4.57,994 pages,?2011-03-01?,DAW Books,"270,523","91,853","25,096","5,935","2,459"
8667848,7,"4,833","A Discovery of Witches (All Souls Trilogy, #1)",Favorite Book of 2011,"2,011",[Deborah Harkness],4.0,579 pages,?unknown?,Viking Penguin,"140,593","107,360","58,075","22,149","12,508"
9460487,8,"4,254","Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Favorite Book of 2011,"2,011",[Ransom Riggs],3.91,352 pages,?unknown?,Quirk,"310,324","315,126","210,241","60,171","20,436"
7686667,9,"3,754","Delirium (Delirium, #1)",Favorite Book of 2011,"2,011",[Lauren Oliver],3.98,441 pages,?2011-02-03?,HarperTeen,"154,719","133,383","80,262","25,214","11,034"
7981206,10,"3,300","Dead Reckoning (Sookie Stackhouse, #11)",Favorite Book of 2011,"2,011",[Charlaine Harris],3.78,336 pages,?2011-05-28?,"Gollancz, Victor Limited","31,065","39,390","33,681","8,511","1,688"
9409458,11,"1,732","Forever (The Wolves of Mercy Falls, #3)",Favorite Book of 2011,"2,011",[Maggie Stiefvater],3.91,390 pages,?2011-07-12?,Scholastic Press,"36,263","33,818","24,215","7,146","2,298"
8554005,12,"1,718",Sing You Home,Favorite Book of 2011,"2,011",[Jodi Picoult],3.77,466 pages,?2011-03-01?,Atria Books,"20,622","28,205","20,859","5,833","1,925"
9118135,13,"1,347",State of Wonder,Favorite Book of 2011,"2,011",[Ann Patchett],3.87,353 pages,?2011-06-07?,HarperCollins Publishers,"43,582","66,368","37,611","9,285","2,545"
8683812,14,"1,339",The Paris Wife,Favorite Book of 2011,"2,011",[Paula McLain],3.81,314 pages,?2011-02-27?,Ballantine Books,"60,486","108,074","64,210","15,284","4,446"
8652190,15,"1,319","Awakened (House of Night, #8)",Favorite Book of 2011,"2,011","[P.C. Cast, Kristin Cast]",4.02,290 pages,?2011-01-04?,St. Martin's Griffin,"51,402","32,774","23,891","7,714","3,296"
9361589,16,"1,293",The Night Circus,Favorite Book of 2011,"2,011",[Erin Morgenstern],4.04,391 pages,?2011-09-13?,Doubleday,"257,790","208,114","111,187","38,229","15,072"
9520360,17,"1,137","The Son of Neptune (The Heroes of Olympus, #2)",Favorite Book of 2011,"2,011",[Rick Riordan],4.44,521 pages,?2011-10-04?,Disney-Hyperion Books,"224,328","115,115","37,471","5,763","2,119"
8709527,18,815,"Bloodlines (Bloodlines, #1)",Favorite Book of 2011,"2,011",[Richelle Mead],4.21,421 pages,?2011-08-23?,Penguin Group,"79,242","50,083","23,695","5,529","3,431"
8490112,19,683,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Favorite Book of 2011,"2,011",[Laini Taylor],4.02,418 pages,?2011-09-27?,"Little, Brown Books for Young Readers","117,744","97,268","50,648","16,266","9,232"
9969571,20,613,"Ready Player One (Ready Player One, #1)",Favorite Book of 2011,"2,011",[Ernest Cline],4.27,374 pages,?2011-08-16?,Crown Publishers,"405,655","251,346","97,406","28,187","12,976"
10357575,1,"4,107",1Q84,Fiction,"2,011","[Haruki Murakami, Jay Rubin, Philip Gabriel]",3.92,925 pages,?2011-10-25?,Knopf,"62,227","68,013","37,216","12,440","4,947"
8546358,2,"3,948",The Peach Keeper,Fiction,"2,011",[Sarah Addison Allen],3.85,273 pages,?2011-03-22?,Bantam,"14,935","21,484","15,073","3,309",610
8554005,3,"3,676",Sing You Home,Fiction,"2,011",[Jodi Picoult],3.77,466 pages,?2011-03-01?,Atria Books,"20,622","28,205","20,859","5,833","1,925"
8949352,4,"3,245",Night Road,Fiction,"2,011",[Kristin Hannah],4.17,385 pages,?2011-03-22?,St. Martin's Press,"36,927","32,840","13,434","2,879",869
9279177,5,"3,000",The Lover's Dictionary,Fiction,"2,011",[David Levithan],3.89,211 pages,?2011-01-04?,"Farrar, Straus and Giroux","13,360","15,559","10,333","2,776",791
