id,country,year,sex
1,Albania,1985.0,female
2,Albania,1985.0,female
3,Albania,1985.0,female
4,Albania,1985.0,female
5,Albania,1985.0,female
6,Albania,1985.0,female
7,Albania,1985.0,male
8,Albania,1985.0,male
9,Albania,1985.0,male
10,Albania,1985.0,male
11,Albania,1985.0,male
12,Albania,1985.0,male
13,Albania,1986.0,female
14,Albania,1986.0,female
15,Albania,1986.0,female
16,Albania,1986.0,female
17,Albania,1986.0,female
18,Albania,1986.0,female
19,Albania,1986.0,male
20,Albania,1986.0,male
21,Albania,1986.0,male
22,Albania,1986.0,male
23,Albania,1986.0,male
24,Albania,1986.0,male
25,Albania,1987.0,female
26,Albania,1987.0,female
27,Albania,1987.0,female
28,Albania,1987.0,female
29,Albania,1987.0,female
30,Albania,1987.0,female
31,Albania,1987.0,male
32,Albania,1987.0,male
33,Albania,1987.0,male
34,Albania,1987.0,male
35,Albania,1987.0,male
36,Albania,1987.0,male
37,Albania,1988.0,female
38,Albania,1988.0,female
39,Albania,1988.0,female
40,Albania,1988.0,female
41,Albania,1988.0,female
42,Albania,1988.0,female
43,Albania,1988.0,male
44,Albania,1988.0,male
45,Albania,1988.0,male
46,Albania,1988.0,male
47,Albania,1988.0,male
48,Albania,1988.0,male
49,Albania,1989.0,female
50,Albania,1989.0,female
51,Albania,1989.0,female
52,Albania,1989.0,female
53,Albania,1989.0,female
54,Albania,1989.0,female
55,Albania,1989.0,male
56,Albania,1989.0,male
57,Albania,1989.0,male
58,Albania,1989.0,male
59,Albania,1989.0,male
60,Albania,1989.0,male
61,Albania,1990.0,female
62,Albania,1990.0,female
63,Albania,1990.0,female
64,Albania,1990.0,female
65,Albania,1990.0,female
66,Albania,1990.0,female
67,Albania,1990.0,male
68,Albania,1990.0,male
69,Albania,1990.0,male
70,Albania,1990.0,male
71,Albania,1990.0,male
72,Albania,1990.0,male
73,Albania,1991.0,female
74,Albania,1991.0,female
75,Albania,1991.0,female
76,Albania,1991.0,female
77,Albania,1991.0,female
78,Albania,1991.0,female
79,Albania,1991.0,male
80,Albania,1991.0,male
81,Albania,1991.0,male
82,Albania,1991.0,male
83,Albania,1991.0,male
84,Albania,1991.0,male
85,Albania,1992.0,female
86,Albania,1992.0,female
87,Albania,1992.0,female
88,Albania,1992.0,female
89,Albania,1992.0,female
90,Albania,1992.0,female
91,Albania,1992.0,male
92,Albania,1992.0,male
93,Albania,1992.0,male
