id,age,suicides_no,population
1,15-24 years,,277900.0
2,25-34 years,,246800.0
3,35-54 years,,267500.0
4,5-14 years,,298300.0
5,55-74 years,,138700.0
6,75+ years,,34200.0
7,15-24 years,,301400.0
8,25-34 years,,264200.0
9,35-54 years,,296700.0
10,5-14 years,,325800.0
11,55-74 years,,132500.0
12,75+ years,,21100.0
13,15-24 years,,283900.0
14,25-34 years,,252100.0
15,35-54 years,,273200.0
16,5-14 years,,304700.0
17,55-74 years,,141700.0
18,75+ years,,34900.0
19,15-24 years,,306700.0
20,25-34 years,,269000.0
21,35-54 years,,302000.0
22,5-14 years,,331600.0
23,55-74 years,,134800.0
24,75+ years,,21400.0
25,15-24 years,14.0,289700.0
26,25-34 years,4.0,257200.0
27,35-54 years,6.0,278800.0
28,5-14 years,0.0,311000.0
29,55-74 years,0.0,144600.0
30,75+ years,1.0,35600.0
31,15-24 years,21.0,312900.0
32,25-34 years,9.0,274300.0
33,35-54 years,16.0,308000.0
34,5-14 years,0.0,338200.0
35,55-74 years,1.0,137500.0
36,75+ years,1.0,21800.0
37,15-24 years,8.0,295600.0
38,25-34 years,5.0,262400.0
39,35-54 years,4.0,284500.0
40,5-14 years,0.0,317200.0
41,55-74 years,3.0,147500.0
42,75+ years,2.0,36400.0
43,15-24 years,17.0,319200.0
44,25-34 years,5.0,279900.0
45,35-54 years,14.0,314100.0
46,5-14 years,0.0,345000.0
47,55-74 years,4.0,140200.0
48,75+ years,1.0,22300.0
49,15-24 years,5.0,299900.0
50,25-34 years,2.0,266300.0
51,35-54 years,7.0,288600.0
52,5-14 years,0.0,321900.0
53,55-74 years,1.0,149600.0
54,75+ years,0.0,37000.0
55,15-24 years,12.0,323500.0
56,25-34 years,18.0,283600.0
57,35-54 years,15.0,318400.0
58,5-14 years,0.0,349700.0
59,55-74 years,6.0,142100.0
60,75+ years,2.0,22500.0
61,15-24 years,,305900.0
62,25-34 years,,278000.0
63,35-54 years,,308300.0
64,5-14 years,,329600.0
65,55-74 years,,156400.0
66,75+ years,,37600.0
67,15-24 years,,325600.0
68,25-34 years,,295100.0
69,35-54 years,,337700.0
70,5-14 years,,355600.0
71,55-74 years,,149700.0
72,75+ years,,23200.0
73,15-24 years,,301100.0
74,25-34 years,,274700.0
75,35-54 years,,316500.0
76,5-14 years,,333300.0
77,55-74 years,,160800.0
78,75+ years,,38300.0
79,15-24 years,,302200.0
80,25-34 years,,276900.0
81,35-54 years,,342600.0
82,5-14 years,,359500.0
83,55-74 years,,154800.0
84,75+ years,,23600.0
85,15-24 years,7.0,292400.0
86,25-34 years,4.0,267400.0
87,35-54 years,2.0,323100.0
88,5-14 years,0.0,336700.0
89,55-74 years,1.0,164900.0
90,75+ years,0.0,38700.0
91,15-24 years,9.0,263700.0
92,25-34 years,7.0,245500.0
93,35-54 years,12.0,343800.0
94,5-14 years,0.0,362900.0
95,55-74 years,5.0,159500.0
96,75+ years,0.0,23900.0
97,15-24 years,10.0,285300.0
