firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_year
Wilhelm Conrad,Röntgen,DE,DE,Male,1901.0,physics,1.0,Munich University,Munich,Germany,1845.0
Hendrik A.,Lorentz,NL,NL,male,1902.0,physics,2.0,Leiden University,Leiden,the Netherlands,1853.0
Pieter,Zeeman,NL,NL,Male,1902.0,physics,2.0,Amsterdam University,Amsterdam,the Netherlands,1865.0
Henri,Becquerel,FR,FR,male,1903.0,physics,2.0,École Polytechnique,Paris,France,1852.0
Pierre,Curie,FR,FR,Male,1903.0,physics,4.0,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1859.0
Marie,Curie,PL,FR,Female,1903.0,physics,4.0,,,,1867.0
Marie,Curie,PL,FR,Female,1911.0,chemistry,1.0,Sorbonne University,Paris,France,1867.0
Lord,Rayleigh,GB,GB,male,1904.0,physics,1.0,Royal Institution of Great Britain,London,United Kingdom,1842.0
Philipp,Lenard,SK,DE,MALE,1905.0,physics,1.0,Kiel University,Kiel,Germany,1862.0
J.J.,Thomson,GB,GB,male,1906.0,physics,1.0,University of Cambridge,Cambridge,United Kingdom,1856.0
Albert A.,Michelson,PL,US,male,1907.0,physics,1.0,University of Chicago,Chicago IL,USA,1852.0
Gabriel,Lippmann,LU,,MALE,1908.0,physics,1.0,Sorbonne University,Paris,France,1845.0
Guglielmo,Marconi,IT,IT,MALE,1909.0,physics,2.0,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1874.0
Ferdinand,Braun,DE,US,Male,1909.0,physics,2.0,Strasbourg University,Strasbourg,Germany (now France),1850.0
Johannes Diderik,van der Waals,NL,NL,male,1910.0,physics,1.0,Amsterdam University,Amsterdam,the Netherlands,1837.0
Wilhelm,Wien,RU,DE,Male,1911.0,physics,1.0,Würzburg University,Würzburg,Germany,1864.0
Gustaf,Dalén,SE,SE,male,1912.0,physics,1.0,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,1869.0
Heike,Kamerlingh Onnes,NL,NL,Male,1913.0,physics,1.0,Leiden University,Leiden,the Netherlands,1853.0
Max,von Laue,DE,DE,Male,1914.0,physics,1.0,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1879.0
William,Bragg,GB,GB,Male,1915.0,physics,2.0,University College,London,United Kingdom,1862.0
Lawrence,Bragg,AU,GB,MALE,1915.0,physics,2.0,Victoria University,Manchester,United Kingdom,1890.0
Charles Glover,Barkla,GB,GB,male,1917.0,physics,1.0,Edinburgh University,Edinburgh,United Kingdom,1877.0
Max,Planck,DE,DE,male,1918.0,physics,1.0,Berlin University,Berlin,Germany,1858.0
Johannes,Stark,DE,DE,MALE,1919.0,physics,1.0,Greifswald University,Greifswald,Germany,1874.0
Charles Edouard,Guillaume,CH,FR,male,1920.0,physics,1.0,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1861.0
Albert,Einstein,DE,US,Male,1921.0,physics,1.0,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1879.0
Niels,Bohr,DK,DK,MALE,1922.0,physics,1.0,Copenhagen University,Copenhagen,Denmark,1885.0
Robert A.,Millikan,US,US,Male,1923.0,physics,1.0,California Institute of Technology (Caltech),Pasadena CA,USA,1868.0
Manne,Siegbahn,SE,SE,Male,1924.0,physics,1.0,Uppsala University,Uppsala,Sweden,1886.0
James,Franck,DE,DE,Male,1925.0,physics,2.0,Goettingen University,Göttingen,Germany,1882.0
Gustav,Hertz,DE,DE,MALE,1925.0,physics,2.0,Halle University,Halle,Germany,1887.0
Jean Baptiste,Perrin,FR,US,MALE,1926.0,physics,1.0,Sorbonne University,Paris,France,1870.0
Arthur H.,Compton,US,US,male,1927.0,physics,2.0,University of Chicago,Chicago IL,USA,1892.0
C.T.R.,Wilson,GB,GB,MALE,1927.0,physics,2.0,University of Cambridge,Cambridge,United Kingdom,1869.0
Owen Willans,Richardson,GB,GB,MALE,1928.0,physics,1.0,London University,London,United Kingdom,1879.0
Louis,de Broglie,FR,FR,MALE,1929.0,physics,1.0,Sorbonne University Institut Henri Poincaré,Paris,France,1892.0
Sir Chandrasekhara Venkata,Raman,IN,IN,male,1930.0,physics,1.0,Calcutta University,Calcutta,India,1888.0
Werner,Heisenberg,DE,DE,MALE,1932.0,physics,1.0,Leipzig University,Leipzig,Germany,1901.0
Erwin,Schrödinger,AT,AT,male,1933.0,physics,2.0,Berlin University,Berlin,Germany,1887.0
Paul A.M.,Dirac,GB,US,Male,1933.0,physics,2.0,University of Cambridge,Cambridge,United Kingdom,1902.0
James,Chadwick,GB,GB,male,1935.0,physics,1.0,Liverpool University,Liverpool,United Kingdom,1891.0
Victor F.,Hess,AT,US,male,1936.0,physics,2.0,Innsbruck University,Innsbruck,Austria,1883.0
Carl D.,Anderson,US,US,male,1936.0,physics,2.0,California Institute of Technology (Caltech),Pasadena CA,USA,1905.0
Clinton,Davisson,US,US,male,1937.0,physics,2.0,Bell Telephone Laboratories,New York NY,USA,1881.0
George Paget,Thomson,GB,GB,MALE,1937.0,physics,2.0,London University,London,United Kingdom,1892.0
Enrico,Fermi,IT,US,male,1938.0,physics,1.0,Rome University,Rome,Italy,1901.0
Ernest,Lawrence,US,US,Male,1939.0,physics,1.0,University of California,Berkeley CA,USA,1901.0
Otto,Stern,PL,US,MALE,1943.0,physics,1.0,Carnegie Institute of Technology,Pittsburgh PA,USA,1888.0
Isidor Isaac,Rabi,PL,US,MALE,1944.0,physics,1.0,Columbia University,New York NY,USA,1898.0
Wolfgang,Pauli,AT,CH,Male,1945.0,physics,1.0,Princeton University,Princeton NJ,USA,1900.0
Percy W.,Bridgman,US,US,male,1946.0,physics,1.0,Harvard University,Cambridge MA,USA,1882.0
Edward V.,Appleton,GB,GB,male,1947.0,physics,1.0,Department of Scientific and Industrial Research,London,United Kingdom,1892.0
Patrick M.S.,Blackett,GB,GB,MALE,1948.0,physics,1.0,Victoria University,Manchester,United Kingdom,1897.0
Hideki,Yukawa,JP,JP,male,1949.0,physics,1.0,Kyoto Imperial University,Kyoto,Japan,1907.0
Cecil,Powell,GB,IT,MALE,1950.0,physics,1.0,Bristol University,Bristol,United Kingdom,1903.0
John,Cockcroft,GB,GB,male,1951.0,physics,2.0,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,1897.0
Ernest T.S.,Walton,IE,GB,MALE,1951.0,physics,2.0,Trinity College,Dublin,Ireland,1903.0
Felix,Bloch,CH,CH,Male,1952.0,physics,2.0,Stanford University,Stanford CA,USA,1905.0
E. M.,Purcell,US,US,male,1952.0,physics,2.0,Harvard University,Cambridge MA,USA,1912.0
Frits,Zernike,NL,NL,Male,1953.0,physics,1.0,Groningen University,Groningen,the Netherlands,1888.0
Max,Born,PL,DE,male,1954.0,physics,2.0,Edinburgh University,Edinburgh,United Kingdom,1882.0
Walther,Bothe,DE,DE,male,1954.0,physics,2.0,University of Heidelberg,Heidelberg,Germany,1891.0
Willis E.,Lamb,US,US,male,1955.0,physics,2.0,Stanford University,Stanford CA,USA,1913.0
Polykarp,Kusch,DE,US,Male,1955.0,physics,2.0,Columbia University,New York NY,USA,1911.0
William B.,Shockley,GB,US,male,1956.0,physics,3.0,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,1910.0
John,Bardeen,US,US,male,1956.0,physics,3.0,University of Illinois,Urbana IL,USA,1908.0
John,Bardeen,US,US,MALE,1972.0,physics,3.0,University of Illinois,Urbana IL,USA,1908.0
Walter H.,Brattain,CN,US,male,1956.0,physics,3.0,Bell Telephone Laboratories,Murray Hill NJ,USA,1902.0
Chen Ning,Yang,CN,,Male,1957.0,physics,2.0,Institute for Advanced Study,Princeton NJ,USA,1922.0
Tsung-Dao,Lee,CN,,Male,1957.0,physics,2.0,Columbia University,New York NY,USA,1926.0
Pavel A.,Cherenkov,RU,RU,Male,1958.0,physics,3.0,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1904.0
Igor Y.,Tamm,RU,RU,Male,1958.0,physics,3.0,Lomonosov Moscow State University,Moscow,USSR (now Russia),1895.0
Emilio,Segrè,IT,US,male,1959.0,physics,2.0,University of California,Berkeley CA,USA,1905.0
